Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
20-10-2021 00:43,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,2.00E+10,0.073
29-09-2021 10:50,53.9N,148.0W,28,21.2,-3.5,-9,-18.9,1.37E+11,0.4
06-09-2021 17:55,2.1S,111.8W,26,13.6,-4.4,6.9,10.9,3.10E+10,0.11
30-07-2021 08:06,7.8S,90.1E,63,,,,,1.46E+11,0.42
29-07-2021 13:19,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,3.70E+10,0.13
07-07-2021 13:41,,,,,,,,3.30E+10,0.11
05-07-2021 03:46,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,7.40E+11,1.8
09-06-2021 05:43,17.9S,55.3W,,,,,,2.30E+10,0.082
16-05-2021 15:51,52.1S,171.2W,37,,,,,3.80E+10,0.13
06-05-2021 05:54,34.7S,141.0E,31,26.6,9.6,-24.4,-4.6,2.10E+10,0.076
02-05-2021 14:12,12.3N,43.4W,,,,,,2.50E+10,0.089
13-04-2021 02:16,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,2.10E+10,0.076
02-04-2021 15:52,71.2N,106.7E,40,14.1,-8.9,6.3,-9,1.37E+11,0.4
06-03-2021 08:43,48.6S,90.4E,31.1,18.1,12.7,-4.7,12,1.41E+11,0.41
05-03-2021 13:50,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,3.90E+10,0.13
28-02-2021 03:47,9.2N,64.1W,,,,,,2.80E+10,0.098
09-02-2021 23:27,75.8N,92.8W,31,13.1,-5.2,6.3,-10.3,3.00E+10,0.1
02-02-2021 10:03,48.7N,80.1E,20,12.8,4,-6.7,-10.1,3.10E+10,0.11
31-01-2021 02:59,5.3N,115.2E,39.4,15.2,14,-5.8,1.7,2.67E+11,0.72
29-01-2021 16:12,38.8N,51.3W,30,14.3,-14.2,1.9,-0.6,7.70E+10,0.24
25-01-2021 03:01,38.5N,47.6W,19.1,,,,,7.50E+10,0.23
24-01-2021 07:33,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,6.10E+10,0.2
29-12-2020 20:32,14.9N,158.2W,33,14.4,-3,10.2,-9.7,4.90E+10,0.16
28-12-2020 17:27,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,5.70E+10,0.18
22-12-2020 23:23,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4.90E+12,9.5
28-11-2020 16:34,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,2.60E+10,0.092
25-11-2020 12:20,30.5S,81.0W,,,,,,2.10E+10,0.076
07-11-2020 21:27,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,1.11E+11,0.33
